index,x,y,z,vx,vy,vz
365,18.3184,15.8925,42,-2.24105,-3,-3.58e-05
366,18.2584,15.851,42,-2.24073,-3,-5.96e-05
367,18.1984,15.8011,42,-2.24298,-3,-8.5e-05
368,18.1385,15.7595,42,-2.24744,-3,-0.000245125
369,18.0785,15.7096,42,-2.25287,-3,-0.000262362
370,18.0185,15.668,42,-2.25701,-3,-0.00016261
371,17.9585,15.6264,42,-2.25941,-3,-0.000103768
372,17.8986,15.5765,42,-2.26095,-3,-6.15e-05
373,17.8386,15.5349,42,-2.26158,-3,-3.48e-06
374,17.7786,15.485,42,-2.26126,-3,-4.88e-06
375,17.7186,15.4435,42,-2.26087,-3,-3.64e-05
376,17.6586,15.3936,42,-2.26122,-3,-1.78e-05
377,17.5987,15.352,42,-2.26224,-3,4.72e-05
378,17.5387,15.3021,42,-2.26372,-3,0.000135141
379,17.4787,15.2605,42,-2.26608,-3,0.000239142
380,17.4187,15.2189,42,-2.26921,-3,0.000254589
381,17.3588,15.169,42,-2.27254,-3,0.000216131
382,17.2988,15.1275,42,-2.27546,-3,0.000228493
383,17.2388,15.0776,42,-2.27811,-3,0.000231846
384,17.1788,15.036,42,-2.28068,-3,0.000213401
385,17.1188,14.9861,42,-2.28283,-3,-1.49e-05
386,17.0589,14.9445,42,-2.28263,-3,-0.000525942
387,16.9989,14.8946,42,-2.27767,-3,-0.000769636
388,16.9389,14.853,42.0001,-2.26817,-3,-0.00140371
389,16.8789,14.8031,42.0001,-2.25821,-3,-0.0011866
390,16.819,14.7615,42.0001,-2.25233,-3,-0.000622668
391,16.759,14.7117,42.0001,-2.24909,-3,-0.000141112
392,16.699,14.6701,42.0001,-2.24796,-3,0.000185747
393,16.6379,14.6285,42.0001,-2.24502,-3,0.000430607
394,16.5779,14.5786,42.0001,-2.23508,-3,0.000574424
395,16.518,14.537,42.0001,-2.22024,-3,0.000690915
396,16.458,14.4954,42.0001,-2.2019,-3,0.00077078
397,16.398,14.4455,42,-2.18269,-3,0.000715467
398,16.338,14.404,42,-2.1698,-3,0.000638334
399,16.278,14.3624,42,-2.16523,-3,0.000618081
400,16.2181,14.3208,42,-2.1655,-3,0.00056921
401,16.1581,14.2792,42,-2.1694,-3,0.000533429
402,16.0981,14.2293,42,-2.17645,-3,0.000341176
403,16.0381,14.1877,42,-2.18495,-3,-9.96e-05
404,15.9782,14.1462,42,-2.19376,-3,-0.000360431
405,15.9182,14.0963,42,-2.20269,-3,-0.000400881
406,15.8582,14.0547,42,-2.21189,-3,-0.000407761
407,15.7982,14.0131,42,-2.22129,-3,-0.000429992
408,15.7383,13.9632,42,-2.23081,-3,-0.000415612
409,15.6783,13.9216,42,-2.24034,-3,-0.000504159
410,15.6183,13.88,42,-2.24964,-3,-0.00066388
411,15.5583,13.8301,42.0001,-2.25834,-3,-0.000721614
412,15.4983,13.7886,42.0001,-2.26655,-3,-0.000638997
413,15.4384,13.7387,42.0001,-2.27446,-3,-0.000515107
414,15.3784,13.6971,42.0001,-2.28234,-3,-0.000393981
415,15.3184,13.6472,42.0001,-2.29013,-3,-0.000256216
416,15.2584,13.6056,42.0001,-2.29797,-3,-0.000116198
417,15.1985,13.5557,42.0001,-2.30589,-3,4.38e-05
418,15.1385,13.5141,42.0001,-2.31385,-3,0.000243545
419,15.0785,13.4642,42.0001,-2.32181,-3,0.000462037
420,15.0185,13.4143,42.0001,-2.33005,-3,0.000721537
421,14.9585,13.3728,42,-2.33883,-3,0.0010241
422,14.8986,13.3229,42,-2.34846,-3,0.0013928
423,14.8386,13.2813,42,-2.35927,-3,0.00174056
424,14.7786,13.2314,41.9999,-2.37155,-3,0.00184467
425,14.7186,13.1815,41.9999,-2.38431,-3,0.00183843
426,14.6587,13.1316,41.9999,-2.39659,-3,0.00205934
427,14.5987,13.09,41.9998,-2.40901,-3,0.00234512
428,14.5387,13.0401,41.9998,-2.42271,-3,0.00252096
429,14.4787,12.9902,41.9998,-2.43794,-3,-0.00178487
430,14.4187,12.9403,42,-2.44859,-3,-0.0082027
431,14.3799,12.9154,42,-1.35536,-1.91851,-0.00260347
